Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-IIS-METABASE_31BF3856AD364E35_10.0.10240.16384_NONE_41326983BCA06C4A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-IIS-MANAGEMENTCONSOLE_31BF3856AD364E35_10.0.10240.16384_NONE_8FD40F0F55C4C666\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-IIS-LEGACYSNAPIN_31BF3856AD364E35_10.0.10240.16384_NONE_892145B64CB3486E\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-IIS-ADMINSERVICE_31BF3856AD364E35_10.0.10240.16384_NONE_62685BD6926A1BC2\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-EMBEDDED-SHELLLAUNCHER_31BF3856AD364E35_10.0.10240.16384_NONE_4C592834E1F16307\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-EMBEDDED-BOOTEXP_31BF3856AD364E35_10.0.10240.16384_NONE_D161C9289E674702\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-E..-UNIFIEDWRITEFILTER_31BF3856AD364E35_10.0.10240.16384_NONE_A43B10FB2277F54E\*	Chemin d’accès	
Autoriser	Tout le monde	C:: WINDOWS DRIVE OPTIMIZER signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..SERVICES-CORE-FILES_31BF3856AD364E35_10.0.10240.16384_NONE_97EBA45DC1A972A5\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..RVICES-ADAM-INSTALL_31BF3856AD364E35_10.0.10240.16384_NONE_24D4CBDC6DC96D79\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..OMMANDLINE-REPADMIN_31BF3856AD364E35_10.0.10240.16384_NONE_08C4989EEDC8BBF5\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..OMMANDLINE-DSDBUTIL_31BF3856AD364E35_10.0.10240.16384_NONE_4799A1D26A20B67A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..OMMANDLINE-ADAMSYNC_31BF3856AD364E35_10.0.10240.16384_NONE_FA233EA7B94E7F33\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..N-TOOLS-COMMAND-LDP_31BF3856AD364E35_10.0.10240.16384_NONE_5741C25A9AEE2F33\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..LS-ADSCHEMAANALYZER_31BF3856AD364E35_10.0.10240.16384_NONE_DBF95649D17FFC1F\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..DIRECTPLAY8-PAYLOAD_31BF3856AD364E35_10.0.10240.16384_NONE_0B805A165E92AF04\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..-COMMANDLINE-DSMGMT_31BF3856AD364E35_10.0.10240.16384_NONE_52D6DF85999EE017\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..-COMMANDLINE-DSDIAG_31BF3856AD364E35_10.0.10240.16384_NONE_542F763798B669C5\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-D..-COMMANDLINE-DSACLS_31BF3856AD364E35_10.0.10240.16384_NONE_511BA3CF9ABA6527\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-CSVDE_31BF3856AD364E35_10.0.10240.16384_NONE_633E9D067D32052B\*	Chemin d’accès	
Autoriser	Tout le monde	C:: MICROSOFT WINDOWS PERFORMANCE RECORDER signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-A..PERIENCE-AIT-STATIC_31BF3856AD364E35_10.0.10240.16384_NONE_38E508B748F24903\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-A..ESSLOCKAPP.APPXMAIN_31BF3856AD364E35_10.0.10240.16384_NONE_3FEEE55DBF7DCC80\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-A..ATIBILITY-ASSISTANT_31BF3856AD364E35_10.0.10240.16384_NONE_3BC6F7C2BDD44CCE\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-A..-EXPERIENCE-APPHELP_31BF3856AD364E35_10.0.10240.16384_NONE_8A024B74FB70A0BC\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-ONECORE-I..ATEDUSERMODE-KERNEL_31BF3856AD364E35_10.0.10240.16384_NONE_EFBCAA452F5174A5\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-HYPER-V-VSTACK-VMWP_31BF3856AD364E35_10.0.10240.16384_NONE_3D40FFF4FA75F315\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-HYPER-V-VSTACK-VMSP_31BF3856AD364E35_10.0.10240.16384_NONE_3D415B14FA758C91\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-HYPER-V-VSTACK-VMMS_31BF3856AD364E35_10.0.10240.16384_NONE_3E96794EF99A0060\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-HYPER-V-DRIVERS-HYPERVISOR_31BF3856AD364E35_10.0.10240.16384_NONE_3851C5100032925B\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %SYSTEM32%\*	Chemin d’accès	
Autoriser	Tout le monde	C:: VMWARE SVGA 3D signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\SYSTEMAPPS\PARENTALCONTROLS_CW5N1H2TXYEWY\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\SYSTEMAPPS\MICROSOFT.WINDOWS.ASSIGNEDACCESSLOCKAPP_CW5N1H2TXYEWY\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\SYSTEMAPPS\MICROSOFT.LOCKAPP_CW5N1H2TXYEWY\*	Chemin d’accès	
Autoriser	Tout le monde	C:: XBOX LIVE® ON WINDOWS® signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\INFUSEDAPPS\PACKAGES\MICROSOFT.XBOXAPP_5.6.17000.0_X64__8WEKYB3D8BBWE\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\INFUSEDAPPS\PACKAGES\MICROSOFT.WINDOWSSTORE_2015.7.1.0_X64__8WEKYB3D8BBWE\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\INFUSEDAPPS\PACKAGES\MICROSOFT.WINDOWSSOUNDRECORDER_10.1506.15100.0_X64__8WEKYB3D8BBWE\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\INFUSEDAPPS\PACKAGES\MICROSOFT.WINDOWSPHONE_10.1506.20010.0_X64__8WEKYB3D8BBWE\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\INFUSEDAPPS\PACKAGES\MICROSOFT.WINDOWSMAPS_4.1505.50619.0_X64__8WEKYB3D8BBWE\*	Chemin d’accès	
